name,followers,follow,text,source,gender
00000yan,84,190,我就是进来看评论的, iPhone 7, f
00100-00000-00100,5,54,…:开玩笑吗？这不是让很多女孩子读完高中就被家里逼结婚？这对女性太不公平了吧！砖家！, Weibo.intl, m
007号种子选手,71,70,考虑到目前的人口形势，建议王超英委员的爸妈和张苏军委员的爸妈继续努力繁殖，为出生人口下降和人口老龄化上升的趋势作出重大贡献, iPhone客户端, m
00Y小姐,278,496,脑子呢？？？, 荣耀V20 4800万3D相机, f
010311创造奇迹,137,343,滚你妈学学我们的台湾省, 荣耀8青春版 颜值担当, f
010-7,2021,603,滚, , f
081Hu,14,58,:想早结婚的人依旧会结婚，想晚结婚的人依旧会晚~, iPhone客户端, f
0羊羊0,887,918,神经病委员？博眼球委员？, 阎鹤祥V+, f
0长顾0,135,701,我寻思着再过几年是不是小姑娘也不用上大学了，直接结婚生孩子然后在家里相夫教子得了, 镇魂女孩的Android, f
1000Shining的珍珍,423,179,嗯？, , f
10699-10213,59,95,建议上调委员智商, HUAWEI P20, m
106·K,1306,378,可行行好吧，感觉我到八十还是个孩子。, 网瘾少女iPhone XS Max, f
10罐奶-,90,236,哥屋恩, 10罐🍼的iPhone 8, f
1234567尼玛是只老母鸡,389,823,Repost Weibo, Weibo.intl, m
1234567我们等的好伤心爽,238,2042,None, 前置双摄vivo X9Plus, f
123456asdffc,15,78,:说穿了是割女性韭菜！, OPPO R9s, m
123柚子超甜,36,79,这个  希望不通过  谢谢, Android, f
12年义务教育推广者,16,153,成年人婚配自由，的确符合国际社会对婚姻自由的定义。但这个提案动机不存，有刺激人口增长，应对老龄化的嫌疑。其实中国不缺人，也不缺青少年，缺的是高素质人才。科技是第一生产力。解决老龄化的正确方式是教育兴邦。加大教育投入，取消中考、高考。大量扩建高中、大学校园、设立大学生贷款。, vivo X20全面屏手机, f
12晓云闲,145,948,下调个鬼啊！十八岁，十八岁在干嘛的！还在高考！还在上大学！ 我觉得适合结婚的男孩子是比女孩子起码大三岁。真的。男孩子都晚熟，十八岁领证，你觉得十八岁的刚过青春期的男孩子还真的能承担起肩负一个家的责任？, HUAWEI nova 3, f
1307年后还爱你,180,887,那……责任感能保证吗？？？, iPhone客户端, f
14072i,347,2071,None, Android, f
158的矮冬瓜,43,29,改成28吧这样就不用被催了, 前后2000万 OPPO R11, f
16g7,840,619,来 让我和那个委员结婚   你给分配我喜欢的女朋友我就结, 小米6 拍人更美, m
16丶Neal,593,1971,None, iPhone客户端, m
_180以下勿扰_,109,218,？？？所以女生要提前两年、男生提前4年被催婚？！！！！, 荣耀8X, f
·-·_·-·,189,226,什么狗屁建议？？？: 高三领证大一离婚？, HUAWEI Mate 20, m
-18wanan,163,535,我觉得不要这样了吧 你看成年人的分手率离婚率都高 下调年龄的话很多刚成年的心智不成熟以为在一起就是爱 一冲动就结婚了 等真的结婚了柴米油盐或者一点小事就受不了离婚率会更高啊, vivo智能手机, f
18岁的摩羯座小陈,208,308,结婚率低也不是年龄问题, HUAWEI nova 2s, f
190118cc,118,31,对女孩子太不公平了，重男轻女的家庭会让女孩子早点嫁人，连上大学的机会都没有，谈什么人口素质优生优育, iPhone客户端, f
190118cc,118,31,脑子是个好东西，怕不是你有私生子吧！！:法律应该给为非婚生育扫平障碍，结婚不一定要生育，婚姻也不应该是生育的必要条件。, iPhone客户端, f
1986年的神话,7,67,None, 微博 weibo.com, m
1994年10月12日,380,168,还要下调啊我求你了, 蔡徐坤的ikun, m
19960910___,173,331,None, iPhone客户端, f
1996-09-15,73,99,还是赶紧国家分配女朋友吧，靠我自己感觉没希望了, 小米MIX2S 全面屏, m
1998一只水鬼,124,158,这就不要了吧, HUAWEI nova 3, f
1anGy-,299,418,None, iPhone XS Max, f
_1BASARA1_,975,518,一天到晚不干正事儿，孩子那么小结婚吃什么 拿什么养小孩？拿什么养自己？十八岁懂些啥？高中生什么都不知道就和别人结婚，生孩子，没有一点自己独立人格和独立的经济，这真的能幸福吗？这难道不是活生生的为了指标不择手段吗？, iPhone客户端, f
1JiA-,55,381,None, iPhone客户端, f
1-NOTHING_1,194,67,女人是生育机器吗？, HUAWEI nova手机, f
1Sun___,83,213,提一些涨工资降房价的消息可能会更好, iPhone客户端, f
1旧是小日常,63,46,这里有个不成熟的小建议, 荣耀V9 play 颜值之选, f
1朵微笑的花,85,385,18岁都还是孩子，离婚率会更高, 魅蓝 5, f
1碗荔枝太阳能,1579,486,？？？再调我就晚婚了兄弟, , f
2012的新兵蛋子,708,529,建议上调委员的文化水平和认知能力, iPhone客户端, m
2013wltest_1923,554,5199, ,w0t8q6 0724t, OPPO超视野全面屏R15, f
2014newlife688,154,875,别扯着蛋, 荣耀10 AI变色更潮美, f
20190125_晴,76,152,说不通啊，按提议的意思是高中就可以谈恋爱啦？不然18岁找谁结婚, 荣耀手机 勇敢做自己, f
2019一定要省钱攒钱努力学习噢,82,382,awdnm:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
2019年一定会瘦到100斤稳定下去,117,549,轉發微博, iPhone客户端, m
2019年不做肥宅,37,193,所谓的专家，就是正事不干，p事一大堆, 小米8周年旗舰手机, f
2019我能暴富啊啊啊啊啊啊啊啊,69,79,上调你🐴 呢, Android客户端, f
2019改了个名儿,26,349,None, iPhone客户端, m
2019是追星女孩,41,89,不结婚的还是不会结婚，不如降一降生活成本 18岁的感情是真是假，都说不清, HUAWEI P10, f
2019略略略,317,751,None, 华为手机 畅享玩不停, m
2019美人鱼小姐姐,147,93,18岁还是个孩子啊, iPhone客户端, f
2019能不能脱非入欧,302,925,:18？你怎么不提议16？本来俩人就是俩孩子，不成熟的决定结婚后再让他们自己买单？, OPPO智能手机, f
2019能不能脱非入欧,302,925,None, OPPO智能手机, f
2019能不能脱非入欧,302,925,生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？ , OPPO智能手机, f
2019能不能脱非入欧,302,925,:都定28也未必愿意结了, OPPO智能手机, f
2019还是单身汪的阿杰,285,332,18岁我记得还是高中生吧…这么早可以结婚合适吗, iPhone客户端, m
2019金水木,22,35,我们人民群众，可以有权利免掉委员吗？, 华为手机, m
233次嗑cp专用小号,48,363,为啥有时候老觉得这些委员都跟傻子一样，看问题从来不看本质，只会提出很一刀切的傻办法，然后供网友嘲弄:感觉有人提议生孩子高考加分的日子不远了……, 全屏双摄 OPPO A5, m
24K纯爷们Lee,36,44,早结婚就得早买房，便要赶在更老一辈尚未退休，积攒的棺材本尚未丝毫损耗之时将其掏空，为建设伟大房地产复兴事业增砖添瓦。又有利于消除老龄人口，减少养老金的发放，减轻国家负担。两全其美，实乃国之大幸。正所谓侠之大者，为国接盘。, 小米5s 拍照黑科技, m
2be麦only_woo,1200,750,想什么啊？, iPhone客户端, f
2FGUN,167,667,下调你妹 ZZ, 微博搜索, m
2nau7,111,117,就算你调到18岁我也没对象, 前置双摄vivo X9s, f
2成一个炸的小蕾子,121,103,拜调，那我岂不是要夕阳恋了, iPhone客户端, f
2貨趣事多,55,153,None, Android, m
300斤的胖子yun猛一窜,105,145,这样，就可以和千玺结婚了, HUAWEI Mate 20, f
3077-,1,137,再下调也没用，不婚晚婚的依旧不变，早婚早恋的也不差那两年, HUAWEI Mate 8, f
30岁前的文静,76,91,昨日份快乐的吃瓜群众，只想说那些爆的都输了，这个才是真的🐮 🍺, vivo X20全面屏手机, f
31号星星,134,582,哦, 微博 weibo.com, m
33高冷的双子座,431,583,有道理，是我们没到18岁吗？大部分是28岁还房没组织条件结婚, OPPO R9, f
33高冷的双子座,431,583,没意义，不结婚的人是因为太年轻而不结婚吗？不是，是因为经济压力大，没有没物质条件结果。那么早结婚的多半就是不懂事结婚，离婚也容易, OPPO R9, f
35Aldebaran-ML,588,351,上调委员智商吧先, iPhone客户端, f
36度C还不够煮熟一只鸭子,424,347,其实就是趁着瓜不嘻嘻的时候赶紧让把婚结了 因为过了那个年龄 想明白了就没人愿意结婚了, iPhone客户端, f
_41-,146,1163,？？？？？？, Weibo.intl, f
436193757略略略,8,1,智商啊😏😏😏, iPhone客户端, m
44心澄则清,1381,280,变换着各种法子要你们生娃哦⚡, iPhone 7 Plus, f
4BruyOunG-,144,99,结婚登记数量持续下降正确的思路该是考虑当代年轻人为还房车贷压力大 思想观念改变等吧 解决方法也该是提高福祉正向鼓励宣传 不是表面改数 这位委员的出发点是好的 但缺乏专业素养和过硬的知识储备 越考虑越觉得有点蠢 这种狭隘的眼界在公务员面试中是咋能及格的呢, iPhone客户端, f
4timesleft,290,585,:先把刑事责任年龄降低吧, iPhone客户端, m
52GYJ,158,114,搞笑, AI实力派 vivo Z1, f
54cooltea,110,230,本人大学毕业时24岁，很好奇这个提议的委员家生了几个小孩？？？这个人及其不负责任的提议，是谁给他的勇气？这种人都能当委员，简直就是个笑话！, 荣耀9青春版 全屏四摄, f
577life,51,169,None, vivo 全新水滴屏手机, f
5们来暧昧吖20,25,119,提出的人，该爆炸的自爆一下:感觉有人提议生孩子高考加分的日子不远了……, OPPO智能手机, m
5片叶叶,167,149,专家们，你们真的降下来了也没用，该啥时候结婚还是啥时候结婚。不过我们国家现在人口老龄化真的有这么严重吗，各种政策感觉迫不及待了, OPPO R9s Plus, f
6002_YJ_M_TV5XQ_慧慧,900,1044,None, TV5XQAndroid, f
60完美,85,194,这种事有什么好变动的呢?建议以后提这种无意义的建议要问责, 荣耀4A 青春优等生, f
6pan啊,27,15,我觉得男的20岁就够了 毕竟我身份证是00年的 不晓得好久才能结婚！！！！, iPhone客户端, m
7021发生的事,102,175,脑子有屎才想出来这些？18岁也就不高考家里有土地的人才有想法。, iPhone客户端, m
704的小骄傲,278,860,建议国家从每年高考落榜学生里调配一些男女随机分配组成夫妻。, iPhone, f
7-------7,202,100,那高三就可以结婚了，离婚率只会越来越高…, 荣耀V10 我AI的快, f
7-------7,203,100,结婚率和出生率降低是什么原因呢？不从根源寻找原因，只是降低法定结婚年龄？, 荣耀V10 我AI的快, f
7777777小绮儿,377,1047,：赶紧结婚，不结弄死你。  好像有哪里不对？？？, HUAWEI P20, f
77太好笑了8,93,702,？？？高中不早恋 毕业就结婚？？？专家就是砖家什么都能搬, 张颜齐的小猴子, f
77就是77_,278,83,我也不知道这些委员每天都在想什么, OPPO智能手机, f
7LH7-,71,83,这个人是脑子有病吗？？？到底是怎么想的啊，18岁还在读书，生了孩子你给养？？？, HUAWEI nova 3i, f
7seeyouagain,150,405,18岁才刚刚成年，刚刚高考，似乎并没有什么能力能够承担起一个家庭的责任，20岁呢，年龄比较特殊，思想介于成熟与不成熟之间，自己都养不活，怎么养别人, HUAWEI nova手机, f
7TYyyy,92,157,和法定年龄没有任何关系  什么鬼专家  脑子装的是水吧, vivo Z3性能实力派, f
7号小红狍,953,507,？？？所以早恋没老师管了（重点误, 鹿晗的芦苇, f
7潋滟,102,190,None, Android, f
80kg铁,294,328,就是，不从根本解决问题。j:生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？你儿子大学毕业你孙子都上幼儿园了 你儿子工作了你孙子都上小学了 可是你儿子的学区房还没到位呢, iPhone客户端, f
80后美妈妈,2124612,524,民法典婚姻家庭编草案：将法定结婚年龄调整为男18岁、女18岁, , f
90后中年影迷,321,733,婚育率低原来是因为结婚年龄太睿智了, HUAWEI Mate 20 Pro, m
90后的诶呦喂5555,122,133,滚哦, 小米9 SE, f
94欧阳荣荣,228,173,调整法定结婚年龄就能改善结婚率低生育率低的问题么，提案人得先搞清楚不愿结婚不愿二胎的核心是什么，是教育压力，生活压力，抓重点！, iPhone客户端, f
98你听我说,40,44,所以，我该结婚了么, iPhone客户端, f
99_鹤冷,464,303,除了🐂🍺我想不到任何一个词了这帮男的脑子里除了算计女性能不能有点别的玩意儿。, 珉锡小女友iPhone客户端, f
Aaaaa-Happy,501,750,哈哈哈哈哈哈:感觉有人提议生孩子高考加分的日子不远了……, Android, f
AAAmber博,173,148,这位钻家真的是厉害了，高中毕业就可以结婚了，就像生孩子不用负责一样！, HUAWEI nova手机, f
ABCAriel,108,236,滚吧, OPPO智能手机, f
Abel_二龙,401,455,又有妖怪在做乱, iPhone客户端, m
abg央,287,64,这样，一夫多妻，孩子多吧, Weibo.intl, f
absof-ckinglutely,7,41,……………………, Android, f
acadai,418,1307,:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
ACCO-PH1,124,154,哦 滚吧, 微博 weibo.com, f
Ace_丘丘,249,342,好白痴一提案, iPhone, f
Ace_丘丘,249,342,部分委员啊, iPhone, f
ace_妖妹勋心,418,3224,脑子有病吧，18岁才高三or大一啊。那个委员想出来的，建议直接取消委员资格吧！, HUAWEI P20, f
AcoF75_Ga,65,107,多好啊，我兔子一岁就可以生孩子。, 小米6X 拍人更美, m
AC千禧,32,94,别了吧，不太友好了这就 😁, vivo智能手机, f
